Duración,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Respondidas,Puntaje,Nota,Certamen 1
0:34:00,1,1,1,0,0,0,0,1,1,1,0,0,12,6,50,73
0:34:00,1,0,1,0,1,0,1,1,0,0,1,0,12,6,50,2
0:34:00,1,0,0,,1,0,1,1,1,1,0,0,11,6,50,39
0:34:00,0,0,0,0,1,0,1,1,0,1,1,1,12,6,50,2
0:34:00,0,0,0,1,0,1,1,0,1,1,1,0,12,6,50,27
0:34:00,1,0,0,0,0,1,1,1,0,1,0,1,12,6,50,25
0:34:00,0,0,0,0,1,1,1,1,1,0,1,0,12,6,50,
0:35:00,0,0,1,0,1,0,1,1,0,1,1,0,12,6,50,20
0:35:00,1,0,0,0,0,1,1,1,1,0,1,0,12,6,50,4
0:36:00,0,1,1,0,1,1,1,0,0,0,0,1,12,6,50,12
0:36:00,1,0,0,0,1,0,1,1,0,1,1,0,12,6,50,0
0:36:00,1,0,0,0,1,0,1,1,0,0,1,1,12,6,50,46
0:36:00,1,0,1,0,0,1,1,1,0,1,0,0,12,6,50,49
0:36:00,0,0,1,0,1,1,1,1,0,0,0,1,12,6,50,31
0:37:00,1,1,1,0,0,1,0,0,0,1,1,0,12,6,50,57
0:37:00,1,1,0,0,0,0,1,1,1,1,0,0,12,6,50,78
0:37:00,1,0,1,0,1,0,1,0,0,1,1,0,12,6,50,40
0:37:00,0,0,1,0,0,0,1,1,0,1,1,1,12,6,50,
0:37:00,0,0,0,0,0,1,1,1,0,1,1,1,12,6,50,20
0:38:00,0,0,1,0,1,0,1,1,0,1,0,1,12,6,50,
0:38:00,0,1,1,0,1,0,1,1,0,0,1,0,12,6,50,27
0:38:00,0,0,0,0,1,0,1,1,1,1,0,1,12,6,50,33
0:38:00,0,0,0,0,1,0,1,1,1,0,1,1,12,6,50,71
0:38:00,1,0,1,1,1,0,1,0,1,0,0,0,12,6,50,77
0:39:00,1,0,1,0,0,0,1,1,0,1,1,0,12,6,50,57
0:39:00,1,1,0,0,1,0,1,1,0,1,0,0,12,6,50,93
0:39:00,0,0,0,0,1,1,1,1,1,1,0,0,12,6,50,6
0:39:00,0,1,0,0,1,0,0,1,1,1,1,0,12,6,50,7
0:39:00,0,0,1,1,0,0,0,1,0,1,1,1,12,6,50,
0:39:00,1,1,1,0,0,0,0,0,1,1,1,0,12,6,50,52
0:39:00,1,1,0,0,0,1,0,0,1,1,1,0,12,6,50,57
0:39:00,0,0,1,1,1,0,1,0,0,1,0,1,12,6,50,41
0:39:00,0,0,0,0,1,1,1,0,0,1,1,1,12,6,50,25
0:39:00,1,1,1,0,0,0,1,0,0,1,0,1,12,6,50,14
0:39:00,0,0,0,0,1,0,1,1,0,1,1,1,12,6,50,6
0:39:00,0,0,1,0,1,0,0,1,0,1,1,1,12,6,50,27
0:40:00,0,1,0,1,0,1,0,1,0,1,1,0,12,6,50,47
0:40:00,0,0,0,0,0,0,1,1,1,1,1,1,12,6,50,11
0:40:00,0,0,0,1,0,0,1,1,0,1,1,1,12,6,50,47
0:40:00,1,0,1,0,0,0,1,1,0,1,1,0,12,6,50,30
0:41:00,1,0,0,0,0,0,1,1,0,1,1,1,12,6,50,70
0:41:00,0,1,0,0,0,0,1,1,1,0,1,1,12,6,50,26
0:41:00,1,0,0,0,0,1,1,1,1,0,1,0,12,6,50,80
0:41:00,1,0,1,0,0,0,1,0,1,1,1,0,12,6,50,6
0:42:00,0,0,1,0,0,1,0,1,0,1,1,1,12,6,50,84
0:42:00,0,0,0,0,0,0,1,1,1,1,1,1,12,6,50,26
0:42:00,1,0,1,0,0,0,1,1,0,1,0,1,12,6,50,64
0:42:00,0,0,1,0,0,1,1,1,0,0,1,1,12,6,50,3
0:42:00,1,0,0,0,1,0,1,0,1,1,0,1,12,6,50,
0:42:00,1,0,0,1,1,0,1,0,0,1,1,0,12,6,50,
0:43:00,1,0,0,0,1,1,1,1,0,0,0,1,12,6,50,60
0:43:00,0,0,0,0,1,0,1,0,1,1,1,1,12,6,50,37
0:43:00,1,0,0,0,1,0,1,1,1,1,0,0,12,6,50,
0:43:00,1,0,0,0,1,0,1,1,0,0,1,1,12,6,50,35
0:44:00,0,0,0,0,1,0,1,1,1,1,0,1,12,6,50,26
0:44:00,1,1,1,0,1,0,0,1,0,1,0,0,12,6,50,27
0:44:00,0,0,0,0,1,0,1,1,1,1,1,0,12,6,50,37
0:44:00,1,1,0,0,1,0,1,1,0,1,0,0,12,6,50,39
0:44:00,1,1,0,0,1,0,1,1,0,0,1,0,12,6,50,31
0:44:00,0,0,1,0,0,0,1,1,0,1,1,1,12,6,50,74
0:44:00,0,0,1,0,0,1,1,1,1,0,0,1,12,6,50,32
0:45:00,0,0,1,0,1,1,1,0,0,1,1,0,12,6,50,17
0:45:00,0,1,0,0,0,0,1,1,1,1,1,0,12,6,50,60
0:45:00,0,1,1,0,1,0,1,1,0,1,0,0,12,6,50,34
0:46:00,1,0,1,0,1,1,1,0,0,1,0,0,12,6,50,75
0:46:00,0,0,1,0,1,0,1,0,0,1,1,1,12,6,50,63
0:46:00,0,0,0,0,0,0,1,1,1,1,1,1,12,6,50,51
0:46:00,0,1,1,0,1,0,0,1,0,0,1,1,12,6,50,93
0:46:00,1,1,1,0,1,0,0,0,0,1,1,0,12,6,50,60
0:47:00,1,0,1,0,1,0,1,0,0,1,1,0,12,6,50,93
0:47:00,0,0,0,1,1,0,1,1,1,1,0,0,12,6,50,2
0:47:00,1,0,0,1,0,0,0,1,1,0,1,1,12,6,50,39
0:47:00,0,0,1,0,0,0,1,1,0,1,1,1,12,6,50,0
0:47:00,0,0,0,0,1,0,1,1,1,1,1,0,12,6,50,90
0:47:00,0,0,0,0,0,0,1,1,1,1,1,1,12,6,50,37
0:48:00,0,0,1,0,0,0,1,1,0,1,1,1,12,6,50,60
0:49:00,1,1,,1,0,0,1,0,1,0,1,0,11,6,50,44
0:49:00,1,1,1,0,1,0,1,1,0,0,0,0,12,6,50,75
0:50:00,1,0,0,0,0,0,0,1,1,1,1,1,12,6,50,32
0:51:00,1,0,1,0,0,0,1,0,1,0,1,1,12,6,50,20
0:52:00,0,1,0,0,0,0,1,1,1,1,1,0,12,6,50,39
0:52:00,1,0,1,0,0,0,1,1,0,1,1,0,12,6,50,69
0:53:00,1,1,0,0,0,0,1,1,0,1,1,0,12,6,50,51
0:55:00,0,0,1,0,1,0,0,0,1,1,1,1,12,6,50,17
9:02:00,1,,0,,0,1,1,0,1,1,1,0,10,6,50,45
9:05:00,1,0,,,1,0,1,0,,1,1,1,9,6,50,52
51:45:00,1,0,1,0,1,0,1,1,1,,,,9,6,50,24
0:21:00,1,0,0,0,0,1,1,1,0,1,1,1,12,7,58.33,30
0:23:00,0,0,1,1,1,1,0,1,1,1,0,0,12,7,58.33,
0:25:00,0,0,1,0,0,1,1,1,1,0,1,1,12,7,58.33,57
