Duración,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Respondidas,Puntaje,Nota,Puntaje Ponderado,Puntaje NEM,Puntaje Ranking,Puntaje Lenguaje,Puntaje Matemática M1,Puntaje Matemática M2,Certamen 1,Abstracción,Descomposición,Patrones,Algoritmos,Aprobación C1,Nota Final,Aprobación Asignatura
1:07:00,0,0,1,0,0,1,1,0,0,0,0,1,12,4,33.33,0,985,1000,761,526,444,18,0,33.33333333,66.66666667,33.33333333,0,74,1
1:00:00,0,0,1,0,0,1,1,0,0,0,1,0,12,4,33.33,797.2,879,907,745,801,587,57,33.33333333,0,66.66666667,33.33333333,1,70,1
0:40:00,0,0,0,1,1,0,0,1,,0,1,0,11,4,33.33,595.2,658,786,536,516,351,0,66.66666667,33.33333333,0,33.33333333,0,32,0
0:45:00,0,1,1,0,0,1,1,0,0,0,0,,11,4,33.33,783.4,837,853,891,814,530,50,0,0,66.66666667,66.66666667,0,77,1
0:29:00,0,0,1,0,0,1,1,0,1,0,,,10,4,33.33,586.5,571,571,589,659,472,36,0,0,100,33.33333333,0,56,1
0:38:00,,0,,,0,0,1,1,1,1,0,0,9,4,33.33,790.6,828,866,683,877,545,62,0,66.66666667,66.66666667,0,1,80,1
0:50:00,0,0,1,,0,0,,1,,0,1,1,9,4,33.33,648.7,837,841,853,499,456,12,33.33333333,66.66666667,0,33.33333333,0,6,0
0:50:00,0,1,1,0,0,0,1,1,,,,0,9,4,33.33,765.6,951,1000,761,688,472,82,0,33.33333333,33.33333333,66.66666667,1,89,1
0:44:00,1,1,1,0,0,0,1,0,,,,,8,4,33.33,0,672,677,582,539,385,18,33.33333333,0,33.33333333,66.66666667,0,14,0
0:55:00,0,1,1,,1,0,0,1,0,,,,8,4,33.33,831.4,865,879,745,909,625,11,33.33333333,33.33333333,0,66.66666667,0,6,0
0:50:00,0,0,1,0,1,1,0,1,,,,,8,4,33.33,0,1000,1000,633,631,444,51,33.33333333,33.33333333,33.33333333,33.33333333,0,71,1
0:29:00,1,0,1,0,1,0,1,0,,,,,8,4,33.33,618.5,622,622,536,715,472,3,66.66666667,0,33.33333333,33.33333333,0,2,0
0:42:00,0,0,1,0,1,0,1,1,,,,,8,4,33.33,653.1,771,816,589,645,385,,33.33333333,33.33333333,33.33333333,33.33333333,0,23,0
